Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.611,2.42E+19,0.0196047,22.9618
9.612,2.34E+19,0.0194778,23.2147
9.613,2.26E+19,0.0192894,23.4599
9.614,2.17E+19,0.0184967,23.6974
9.615,2.09E+19,0.0180491,23.9276
9.616,2.02E+19,0.0183334,24.1505
9.617,1.92E+19,0.018338,24.3662
9.618,1.82E+19,0.0176548,24.5751
9.619,1.77E+19,0.0168278,24.7772
9.62,1.70E+19,0.0168454,24.9728
9.621,1.62E+19,0.0167825,25.1619
9.622,1.53E+19,0.016328,25.3447
9.623,1.44E+19,0.0162528,25.5215
9.624,1.38E+19,0.016053,25.6924
9.625,1.32E+19,0.015567,25.8575
9.626,1.24E+19,0.0151512,26.017
9.627,1.18E+19,0.0148548,26.171
9.628,1.09E+19,0.0150306,26.3196
9.629,1.03E+19,0.0149453,26.4627
9.63,9.89E+18,0.0140559,26.6004
9.631,9.00E+18,0.0139945,26.7328
9.632,9.17E+18,0.0138489,26.8599
9.633,8.43E+18,0.0135795,26.9818
9.634,7.91E+18,0.0131001,27.0984
9.635,7.46E+18,0.0127536,27.2098
9.636,6.92E+18,0.0126506,27.3161
9.637,6.55E+18,0.0125901,27.4173
9.638,6.26E+18,0.0124759,27.5135
9.639,5.85E+18,0.0122888,27.6046
9.64,5.42E+18,0.0120835,27.6908
9.641,5.06E+18,0.0119622,27.772
9.642,4.70E+18,0.0119858,27.8484
9.643,4.38E+18,0.0118005,27.9199
9.644,4.11E+18,0.0113669,27.9866
9.645,3.90E+18,0.0110011,28.0485
9.646,3.67E+18,0.010747,28.1058
9.647,3.41E+18,0.0105905,28.1585
9.648,3.19E+18,0.0105186,28.2069
9.649,2.97E+18,0.0102945,28.251
9.65,2.76E+18,0.00996233,28.2909
9.651,2.57E+18,0.00976528,28.3268
9.652,2.40E+18,0.00969238,28.3589
9.653,2.24E+18,0.00968328,28.3872
9.654,2.09E+18,0.0096498,28.4119
9.655,1.94E+18,0.00949599,28.4331
9.656,1.81E+18,0.00922706,28.4509
9.657,1.69E+18,0.00896005,28.4655
9.658,1.57E+18,0.00871541,28.477
9.659,1.46E+18,0.00848972,28.4856
9.66,1.36E+18,0.00828192,28.4913
9.661,1.26E+18,0.00809115,28.4942
9.662,1.17E+18,0.00791657,28.4946
9.663,1.09E+18,0.00775733,28.4926
9.664,1.01E+18,0.00761258,28.4882
9.665,9.43E+17,0.00748146,28.4816
9.666,8.78E+17,0.00736313,28.4731
9.667,8.17E+17,0.00725673,28.4627
9.668,7.62E+17,0.00716143,28.4507
9.669,7.10E+17,0.00707636,28.4372
9.67,6.62E+17,0.00700068,28.4223
9.671,6.18E+17,0.00693354,28.4063
9.672,5.77E+17,0.00687409,28.3893
9.673,5.39E+17,0.00682148,28.3715
9.674,5.04E+17,0.00677485,28.353
9.675,4.70E+17,0.00673337,28.3341
9.676,4.39E+17,0.00669617,28.3148
9.677,4.08E+17,0.00666242,28.2954
9.678,3.79E+17,0.00663125,28.2759
9.679,3.51E+17,0.00660182,28.2567
9.68,3.23E+17,0.00657328,28.2378
