Time (ns),Neutrons out(ns^-1),DSR,Tion (keV)
9.526,2.33E+18,0.0411577,7.11231
9.527,2.39E+18,0.0409328,7.14809
9.528,2.44E+18,0.0407047,7.18465
9.529,2.49E+18,0.0404734,7.22202
9.53,2.54E+18,0.0402392,7.26025
9.531,2.59E+18,0.0400021,7.29936
9.532,2.64E+18,0.0397623,7.33938
9.533,2.70E+18,0.0395198,7.38033
9.534,2.76E+18,0.0392748,7.42226
9.535,2.82E+18,0.0390274,7.46519
9.536,2.88E+18,0.0387777,7.50915
9.537,2.94E+18,0.0385258,7.55417
9.538,3.01E+18,0.0382719,7.60029
9.539,3.07E+18,0.0380161,7.64753
9.54,3.14E+18,0.0377584,7.69592
9.541,3.20E+18,0.0374991,7.7455
9.542,3.26E+18,0.0372382,7.79629
9.543,3.32E+18,0.0369758,7.84833
9.544,3.37E+18,0.0367121,7.90164
9.545,3.42E+18,0.0364472,7.95626
9.546,3.47E+18,0.0361812,8.01221
9.547,3.52E+18,0.0359142,8.06953
9.548,3.57E+18,0.0356464,8.12825
9.549,3.63E+18,0.0353778,8.1884
9.55,3.68E+18,0.0351085,8.25
9.551,3.73E+18,0.0348388,8.31309
9.552,3.78E+18,0.0345686,8.37764
9.553,3.83E+18,0.0342979,8.44366
9.554,3.87E+18,0.0340267,8.51113
9.555,3.91E+18,0.0337552,8.58002
9.556,3.95E+18,0.0334833,8.65033
9.557,3.99E+18,0.033211,8.72203
9.558,4.01E+18,0.0329383,8.79513
9.559,4.05E+18,0.0326654,8.86959
9.56,4.06E+18,0.0323921,8.94541
9.561,4.10E+18,0.0321186,9.02257
9.562,4.10E+18,0.0318449,9.10105
9.563,4.13E+18,0.0315709,9.18085
9.564,4.14E+18,0.0312968,9.26194
9.565,4.14E+18,0.0310224,9.34432
9.566,4.14E+18,0.030748,9.42796
9.567,4.13E+18,0.0304734,9.51285
9.568,4.14E+18,0.0301987,9.59898
9.569,4.12E+18,0.0299239,9.68634
9.57,4.09E+18,0.0296491,9.7749
9.571,4.08E+18,0.0293743,9.86465
9.572,4.05E+18,0.0290994,9.95558
9.573,4.02E+18,0.0288246,10.0477
