Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.556,3.94694E+18,0.0334833,8.65033
9.557,3.9877E+18,0.033211,8.72203
9.558,4.01191E+18,0.0329383,8.79513
9.559,4.04883E+18,0.0326654,8.86959
9.56,4.06357E+18,0.0323921,8.94541
9.561,4.09534E+18,0.0321186,9.02257
9.562,4.10141E+18,0.0318449,9.10105
9.563,4.12898E+18,0.0315709,9.18085
9.564,4.1356E+18,0.0312968,9.26194
9.565,4.14426E+18,0.0310224,9.34432
9.566,4.13862E+18,0.030748,9.42796
9.567,4.12622E+18,0.0304734,9.51285
9.568,4.13962E+18,0.0301987,9.59898
9.569,4.11776E+18,0.0299239,9.68634
9.57,4.09135E+18,0.0296491,9.7749
9.571,4.08023E+18,0.0293743,9.86465
9.572,4.04725E+18,0.0290994,9.95558
9.573,4.01607E+18,0.0288246,10.0477
9.574,3.97744E+18,0.0285498,10.1409
9.575,3.93159E+18,0.0282751,10.2353
9.576,3.89002E+18,0.0280005,10.3308
9.577,3.83886E+18,0.0277261,10.4274
9.578,3.78301E+18,0.0274517,10.5251
9.579,3.70901E+18,0.0271776,10.6239
9.58,3.65797E+18,0.0269036,10.7237
9.581,3.59642E+18,0.0266298,10.8246
9.582,3.52385E+18,0.0263563,10.9265
9.583,3.44773E+18,0.0260831,11.0294
9.584,3.37527E+18,0.0258101,11.1333
9.585,3.29374E+18,0.0255375,11.2382
9.586,3.21512E+18,0.0252652,11.3441
9.587,3.13433E+18,0.0249932,11.4509
9.588,3.05007E+18,0.0247217,11.5587
9.589,2.962E+18,0.0244505,11.6674
9.59,2.87081E+18,0.0241798,11.777
9.591,2.78341E+18,0.0239096,11.8875
9.592,2.6958E+18,0.0236398,11.9989
9.593,2.60557E+18,0.0233705,12.1111
9.594,2.51913E+18,0.0231018,12.2242
9.595,2.43058E+18,0.0228336,12.3382
9.596,2.34416E+18,0.0225661,12.453
9.597,2.24975E+18,0.0222991,12.5686
9.598,2.16654E+18,0.0220327,12.6849
9.599,2.08525E+18,0.021767,12.8021
9.6,2.00469E+18,0.021502,12.92
9.601,1.92497E+18,0.0212377,13.0386
9.602,1.84619E+18,0.0209742,13.1578
9.603,1.76846E+18,0.0207117,13.2772
9.604,1.69189E+18,0.0204502,13.3967
9.605,1.61658E+18,0.02019,13.5161
9.606,1.54266E+18,0.019931,13.6351
9.607,1.47021E+18,0.0196736,13.7534
9.608,1.39936E+18,0.0194177,13.8709
9.609,1.33021E+18,0.0191636,13.9874
9.61,1.26286E+18,0.0189112,14.1025
9.611,1.19743E+18,0.0186609,14.2161
9.612,1.13402E+18,0.0184126,14.328
9.613,1.07275E+18,0.0181666,14.4378
9.614,1.01371E+18,0.0179229,14.5455
9.615,9.57026E+17,0.0176816,14.6507
9.616,9.02793E+17,0.017443,14.7533
9.617,8.51124E+17,0.017207,14.853
9.618,8.02104E+17,0.0169739,14.9495
9.619,7.55678E+17,0.0167438,15.0428
9.62,7.1174E+17,0.0165168,15.1324
9.621,6.70182E+17,0.016293,15.2182
9.622,6.30899E+17,0.0160726,15.3
9.623,5.93782E+17,0.0158557,15.3776
9.624,5.58725E+17,0.0156423,15.4506
9.625,5.25621E+17,0.0154327,15.519
9.626,4.94364E+17,0.0152269,15.5824
9.627,4.64845E+17,0.0150251,15.6407
9.628,4.36959E+17,0.0148275,15.6935
9.629,4.10599E+17,0.014634,15.7407
9.63,3.85656E+17,0.0144449,15.7821
9.631,3.62034E+17,0.0142604,15.8174
9.632,3.39668E+17,0.0140804,15.8464
9.633,3.18505E+17,0.0139051,15.8689
9.634,2.9849E+17,0.0137348,15.8846
9.635,2.7957E+17,0.0135694,15.8933
9.636,2.61691E+17,0.0134091,15.895
9.637,2.44798E+17,0.0132536,15.8899
9.638,2.28837E+17,0.0131028,15.8785
9.639,2.13754E+17,0.0129563,15.8615
9.64,1.99496E+17,0.012814,15.8392
9.641,1.86016E+17,0.0126755,15.8121
9.642,1.73287E+17,0.0125406,15.7808
9.643,1.61285E+17,0.0124092,15.7457
9.644,1.49987E+17,0.0122808,15.7074
9.645,1.39368E+17,0.0121553,15.6662
9.646,1.29405E+17,0.0120324,15.6228
9.647,1.20074E+17,0.011912,15.5776
9.648,1.11351E+17,0.0117936,15.5311
9.649,1.03213E+17,0.0116771,15.4837
9.65,9.56349E+16,0.0115622,15.4361
9.651,8.85933E+16,0.0114487,15.3885
9.652,8.20645E+16,0.0113366,15.3412
9.653,7.60246E+16,0.0112258,15.2939
9.654,7.04497E+16,0.0111163,15.2469
9.655,6.5316E+16,0.0110081,15.2
9.656,6.05996E+16,0.0109011,15.1533
9.657,5.62768E+16,0.0107953,15.1067
9.658,5.23236E+16,0.0106907,15.0603
9.659,4.87162E+16,0.0105872,15.014
9.66,4.54307E+16,0.0104849,14.9679
9.661,4.24434E+16,0.0103836,14.9219
9.662,3.97304E+16,0.0102835,14.876
9.663,3.72678E+16,0.0101844,14.8303
9.664,3.50318E+16,0.0100863,14.7847
9.665,3.29985E+16,0.00998915,14.7392
9.666,3.11441E+16,0.009893,14.6939
9.667,2.94448E+16,0.00979778,14.6487
9.668,2.78766E+16,0.00970347,14.6036
9.669,2.64159E+16,0.00961004,14.5586
9.67,2.50386E+16,0.00951747,14.5137
9.671,2.3721E+16,0.00942571,14.4689
9.672,2.24404E+16,0.00933476,14.4242
9.673,2.11861E+16,0.00924457,14.3796
9.674,1.99548E+16,0.00915513,14.3351
9.675,1.87432E+16,0.0090664,14.2907
9.676,1.75481E+16,0.00897836,14.2464
9.677,1.63661E+16,0.00889097,14.2022
9.678,1.51939E+16,0.00880422,14.1581
9.679,1.40283E+16,0.00871808,14.114
9.68,1.2866E+16,0.00863251,14.07
