Time (ns),Neutrons out per ns,DSR,Tion(keV) new,Time shifted per above cell for overplotting
9.31,3.96E+18,0.0183766,14.3277,9.6
9.311,3.79E+18,0.0180342,14.3953,9.601
9.312,3.68E+18,0.0176105,14.4601,9.602
9.313,3.54E+18,0.0172908,14.5219,9.603
9.314,3.35E+18,0.0170931,14.5808,9.604
9.315,3.20E+18,0.0169435,14.6367,9.605
9.316,3.10E+18,0.0168426,14.6896,9.606
9.317,2.96E+18,0.0166307,14.7394,9.607
9.318,2.79E+18,0.0162882,14.7861,9.608
9.319,2.65E+18,0.0160264,14.8296,9.609
9.32,2.56E+18,0.0159202,14.87,9.61
9.321,2.46E+18,0.0157732,14.9072,9.611
9.322,2.31E+18,0.0153852,14.9414,9.612
9.323,2.17E+18,0.0149973,14.9728,9.613
9.324,2.07E+18,0.014932,15.0015,9.614
9.325,2.00E+18,0.0149161,15.0278,9.615
9.326,1.90E+18,0.014789,15.0519,9.616
9.327,1.79E+18,0.0145548,15.074,9.617
9.328,1.66E+18,0.0143146,15.0942,9.618
9.329,1.56E+18,0.013986,15.1128,9.619
9.33,1.50E+18,0.0136574,15.13,9.62
9.331,1.47E+18,0.0137328,15.1459,9.621
9.332,1.38E+18,0.0135615,15.1605,9.622
9.333,1.26E+18,0.0133903,15.1739,9.623
9.334,1.19E+18,0.0131849,15.1861,9.624
9.335,1.14E+18,0.0129766,15.197,9.625
9.336,1.09E+18,0.0127857,15.2067,9.626
9.337,1.02E+18,0.0126494,15.2152,9.627
9.338,9.43E+17,0.012513,15.2225,9.628
9.339,8.84E+17,0.0123261,15.2285,9.629
9.34,8.44E+17,0.0120867,15.2333,9.63
9.341,8.09E+17,0.0118473,15.237,9.631
9.342,7.62E+17,0.0117016,15.2394,9.632
9.343,7.06E+17,0.0116078,15.2406,9.633
9.344,6.52E+17,0.0115139,15.2406,9.634
9.345,6.13E+17,0.0113944,15.2394,9.635
9.346,5.85E+17,0.0112636,15.237,9.636
9.347,5.59E+17,0.0111327,15.2334,9.637
9.348,5.25E+17,0.0109667,15.2287,9.638
9.349,4.85E+17,0.0107827,15.2227,9.639
9.35,4.47E+17,0.0105987,15.2156,9.64
9.351,4.18E+17,0.0104465,15.2073,9.641
9.352,3.99E+17,0.0103133,15.1978,9.642
9.353,3.80E+17,0.0101801,15.1871,9.643
9.354,3.56E+17,0.0100895,15.1753,9.644
9.355,3.28E+17,0.0100294,15.1623,9.645
9.356,3.01E+17,0.00996919,15.1482,9.646
9.357,2.85E+17,0.0098927,15.1328,9.647
9.358,2.75E+17,0.00980222,15.1164,9.648
9.359,2.61E+17,0.00971175,15.0988,9.649
9.36,2.33E+17,0.00958387,15.08,9.65
9.361,2.10E+17,0.00945275,15.0601,9.651
9.362,1.99E+17,0.00932645,15.0391,9.652
9.363,1.92E+17,0.00921702,15.0171,9.653
9.364,1.83E+17,0.00912915,14.9941,9.654
